date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:28	216292/216292	U-----	200	untouched ('')	image/png	etag:%2234ce4-650b0810-237f69;;;%22	https://hadafplay.com/wp-content/uploads/2023/09/Hay-Sultan-Episode-5-With-Urdu-Subtitles.png	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/uploads/2023/09/Hay-Sultan-Episode-5-With-Urdu-Subtitles.png	(from https://hadafplay.com/hay-sultan-episode-5-with-urdu-subtitles/)
19:17:29	884/884	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/hay-sultan-episode-4-urdu/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/hay-sultan-episode-4-urdu/feed/index.html	(from https://hadafplay.com/hay-sultan-episode-4-urdu/)
19:17:30	21404/21404	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:16:04%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1533	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1533.json	(from https://hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/)
19:17:31	2787/2787	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:16:06%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fhay-sultan-episode-3-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed6c44.json	(from https://hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/)
19:17:33	3003/3003	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:16:07%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fhay-sultan-episode-3-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embedd748	(from https://hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/)
19:18:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:15:04%20GMT	https://hadafplay.com/?p=1882	C:/My%20Web%20Sites/atif/hadafplay.com/index10ba.html	(from https://hadafplay.com/hay-sultan-episode-4-urdu/)
19:18:18	21424/21424	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:16:52%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1530	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1530.json	(from https://hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/)
19:18:20	914/914	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/)
19:18:22	2770/2770	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:16:56%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fhay-sultan-episode-2-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embedc548.json	(from https://hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/)
19:18:23	2986/2986	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:16:57%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fhay-sultan-episode-2-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed1fa1	(from https://hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/)
19:18:37	914/914	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/)
19:18:39	21268/21268	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:17:13%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1527	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1527.json	(from https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/)
19:19:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:16:05%20GMT	https://hadafplay.com/?p=1533	C:/My%20Web%20Sites/atif/hadafplay.com/indexc8d7.html	(from https://hadafplay.com/hay-sultan-episode-3-with-urdu-subtitles/)
19:19:21	2772/2772	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:17:55%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fhay-sultan-episode-1-in-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embedbb63.json	(from https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/)
19:19:22	2984/2984	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:17:57%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fhay-sultan-episode-1-in-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embedeaee	(from https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/)
19:19:27	910/910	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/feed/index.html	(from https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/)
19:20:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:16:54%20GMT	https://hadafplay.com/?p=1530	C:/My%20Web%20Sites/atif/hadafplay.com/index60da.html	(from https://hadafplay.com/hay-sultan-episode-2-with-urdu-subtitles/)
19:20:11	19468/19468	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:18:45%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1575	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1575.json	(from https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/)
19:20:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2014:17:15%20GMT	https://hadafplay.com/?p=1527	C:/My%20Web%20Sites/atif/hadafplay.com/indexb367.html	(from https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/)
19:20:31	2792/2792	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:19:06%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fkizil-elma-episode-3-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed0dee.json	(from https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/)
19:20:32	3006/3006	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2031%20Mar%202024%2014:19:07%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fkizil-elma-episode-3-with-urdu-subtitles%2F&format=xml	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed7688	(from https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/)
19:20:33	1939/1939	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/feed/index.html	(from https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/)
19:20:39	151690/151690	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2031%20Mar%202024%2014:19:08%20GMT	https://hadafplay.com/category/kizil-elma/	C:/My%20Web%20Sites/atif/hadafplay.com/category/kizil-elma/index.html	(from https://hadafplay.com/kizil-elma-episode-3-with-urdu-subtitles/)
19:20:40	19534/19534	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:19:14%20GMT	https://hadafplay.com/wp-json/wp/v2/posts/1572	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/posts/1572.json	(from https://hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/)
19:20:41	20702/20702	U-----	200	untouched ('')	image/webp	etag:%2250de-65043527-23809e;;;%22	https://hadafplay.com/wp-content/uploads/2023/09/Hay-Sultan-Episode-1-With-Urdu-Subtitles-.webp	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/uploads/2023/09/Hay-Sultan-Episode-1-With-Urdu-Subtitles-.webp	(from https://hadafplay.com/hay-sultan-episode-1-in-urdu-subtitles/)
19:20:43	2792/2792	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2014:19:17%20GMT	https://hadafplay.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhadafplay.com%2Fkizil-elma-episode-2-with-urdu-subtitles%2F	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/oembed/1.0/embed7b99.json	(from https://hadafplay.com/kizil-elma-episode-2-with-urdu-subtitles/)
